iter	MultiClass
0	1.151781513
1	0.9839635886
2	0.8594538769
3	0.7616230605
4	0.6820369635
5	0.6131957299
6	0.5585139563
7	0.509068061
8	0.4686841829
9	0.433746135
10	0.4020958728
11	0.3738293868
12	0.3490234472
13	0.3269363165
14	0.3075015547
15	0.2910160698
16	0.2750501213
17	0.2618728383
18	0.2492755856
19	0.2385235699
20	0.2288468803
21	0.2204951867
22	0.2124236767
23	0.2049135177
24	0.1987262918
25	0.193378905
26	0.1874901184
27	0.1827050073
28	0.1784634698
29	0.1742261847
30	0.1705821745
31	0.1668305446
32	0.1641205039
33	0.161253752
34	0.1585582123
35	0.1563052097
36	0.1541511668
37	0.1521727832
38	0.1507182838
39	0.148948791
40	0.1475912247
41	0.1463214531
42	0.1450191263
43	0.1439671068
44	0.1428504977
45	0.1419926464
46	0.1410379835
47	0.140098412
48	0.139362089
49	0.1386320946
50	0.138006972
51	0.1374162235
52	0.1368624979
53	0.1363943283
54	0.1359034735
55	0.1352853455
56	0.1347100438
57	0.1342036809
58	0.1337743419
59	0.1334747429
60	0.1331506916
61	0.1329109422
62	0.1325298343
63	0.1321832759
64	0.1318591237
65	0.1315916769
66	0.1313712008
67	0.1310324858
68	0.1308176461
69	0.1305335222
70	0.1302454491
71	0.130007438
72	0.129702269
73	0.1295171735
74	0.1292335664
75	0.1289729216
76	0.1287089047
77	0.1284560248
78	0.128241342
79	0.1280339926
80	0.1277803994
81	0.1275742083
82	0.1274666078
83	0.1272445591
84	0.1271266589
85	0.1269215698
86	0.1267905586
87	0.1266324015
88	0.1265105407
89	0.1263495503
90	0.1261971078
91	0.1260792295
92	0.1259422838
93	0.1257793276
94	0.125685906
95	0.1255726383
96	0.125441489
97	0.1253926452
98	0.12528025
99	0.1251406106
100	0.1250148473
101	0.1249137141
102	0.1247744429
103	0.1247154878
104	0.1246502187
105	0.1245871964
106	0.1244519046
107	0.1243545016
108	0.1242855352
109	0.1241461978
110	0.1240290372
111	0.123959793
112	0.1238542145
113	0.1237574787
114	0.1236628354
115	0.1235678243
116	0.1234709497
117	0.1234106479
118	0.1232706402
119	0.123222918
120	0.1231087817
121	0.1230146638
122	0.1229610483
123	0.1229203706
124	0.1228149854
125	0.1226838634
126	0.1225954718
127	0.1225192155
128	0.1224535661
129	0.1223708485
130	0.1223120183
131	0.122206447
132	0.1221009057
133	0.1220574106
134	0.1219663392
135	0.1219101153
136	0.1218231016
137	0.1217518749
138	0.121686257
139	0.1216167765
140	0.1215277528
141	0.1214179823
142	0.1213545813
143	0.1212979706
144	0.121218205
145	0.1211620401
146	0.1210818451
147	0.1210382132
148	0.1210077674
149	0.1209593266
150	0.1209131805
151	0.1208308673
152	0.1207654414
153	0.1207153821
154	0.1206495905
155	0.1205782294
156	0.1204267842
157	0.120384625
158	0.1202787147
159	0.1202187004
160	0.1201538973
161	0.120114264
162	0.1200373742
163	0.1199416697
164	0.1198767488
165	0.1198477424
166	0.1197933383
167	0.1197602281
168	0.119731306
169	0.1196735588
170	0.1196379696
171	0.1195797857
172	0.1195336459
173	0.1194838156
174	0.1194335858
175	0.1193880774
176	0.1192890294
177	0.1192391819
178	0.1191832178
179	0.1191585926
180	0.1191030558
181	0.1190415376
182	0.1190151748
183	0.1189832006
184	0.1189351757
185	0.1188541118
186	0.1188077274
187	0.118784918
188	0.1187397392
189	0.1186755139
190	0.1186382227
191	0.1186026587
192	0.1185794493
193	0.1185311669
194	0.1184391812
195	0.1184071045
196	0.1183244135
197	0.1182382238
198	0.1182053649
199	0.1181780948
200	0.1181370163
201	0.1180896057
202	0.1180362283
203	0.1179736116
204	0.1179283069
205	0.1178686002
206	0.1178334445
207	0.1177583479
208	0.1177243403
209	0.1176865035
210	0.1176233026
211	0.1175758794
212	0.117538775
213	0.1175092833
214	0.1174614449
215	0.117412056
216	0.1173455525
217	0.1173289324
218	0.1173081406
219	0.1172758418
220	0.1172414213
221	0.117217633
222	0.1171595667
223	0.1170699125
224	0.1170438785
225	0.1170151157
226	0.1169804741
227	0.1169315365
228	0.116844923
229	0.1168295467
230	0.1168070535
231	0.1167687476
232	0.1167412756
233	0.1166877825
234	0.1166589965
235	0.1165985972
236	0.1165430979
237	0.1164951147
238	0.1164614678
239	0.1163982065
240	0.1163622168
241	0.1163166567
242	0.1162702366
243	0.1162123532
244	0.1161873139
245	0.1161580235
246	0.1161360008
247	0.1161145105
248	0.1160764213
249	0.1160375699
250	0.115995863
251	0.1159609184
252	0.1159010249
253	0.1158756716
254	0.1158178248
255	0.1157915993
256	0.1157428351
257	0.1156847465
258	0.1156580946
259	0.1156043426
260	0.1155728946
261	0.1155399687
262	0.1155171058
263	0.1154778124
264	0.1154613011
265	0.1154079592
266	0.1153783529
267	0.1153462088
268	0.1152876889
269	0.1152331917
270	0.115191756
271	0.1151640601
272	0.115141965
273	0.1151037847
274	0.1150763468
275	0.1150507553
276	0.1150079398
277	0.114977022
278	0.1149515302
279	0.1149100224
280	0.1148761516
281	0.1148500871
282	0.1148246152
283	0.1148069187
284	0.1147546946
285	0.114708144
286	0.1146672955
287	0.1146198237
288	0.1145810701
289	0.1145588604
290	0.1145106333
291	0.1144626137
292	0.1144198254
293	0.114358481
294	0.1143265502
295	0.1142726586
296	0.1142257312
297	0.1141755574
298	0.1141604378
299	0.1141241801
300	0.1140940199
301	0.1140667988
302	0.1140370756
303	0.1140019415
304	0.1139831099
305	0.1139590387
306	0.1139295591
307	0.1138993857
308	0.1138629087
309	0.1138270625
310	0.1138112047
311	0.1137779673
312	0.1137477866
313	0.1136940144
314	0.1136687587
315	0.113647569
316	0.1136234019
317	0.1135934696
318	0.1135525341
319	0.1135242348
320	0.1134940353
321	0.1134386019
322	0.1134126566
323	0.1133683723
324	0.113346425
325	0.1133107909
326	0.113271447
327	0.1132076623
328	0.1131815279
329	0.1131502215
330	0.1131186353
331	0.1130901988
332	0.1130632225
333	0.1130384148
334	0.1130188199
335	0.1129940965
336	0.1129693772
337	0.1129414923
338	0.1129185036
339	0.1128625555
340	0.1128351353
341	0.1128100669
342	0.1127893787
343	0.1127201194
344	0.1127068688
345	0.1126589053
346	0.1126294788
347	0.1125990695
348	0.1125833489
349	0.1125416864
350	0.1125001607
351	0.1124695177
352	0.1124349688
353	0.1124025588
354	0.112342824
355	0.1123153755
356	0.1122796803
357	0.1122512113
358	0.1122306266
359	0.1122001987
360	0.1121753649
361	0.1121320368
362	0.1120974462
363	0.112057853
364	0.1120204086
365	0.1119979459
366	0.1119656492
367	0.1119298551
368	0.111900066
369	0.1118875207
370	0.1118554939
371	0.1118118711
372	0.1117939429
373	0.111770179
374	0.1117566531
375	0.1117192629
376	0.1116846021
377	0.1116674174
378	0.1116184572
379	0.1115989987
380	0.1115653193
381	0.1115487786
382	0.1115168679
383	0.1114915916
384	0.1114723578
385	0.111434677
386	0.1114161144
387	0.1113832378
388	0.1113654565
389	0.1113092942
390	0.111285482
391	0.1112722856
392	0.1112582099
393	0.1112389007
394	0.111214168
395	0.1111955673
396	0.1111703559
397	0.1111506804
398	0.111116815
399	0.1110781802
400	0.111057109
401	0.1110104261
402	0.1109819166
403	0.1109583141
404	0.1109400464
405	0.1108913912
406	0.1108594502
407	0.1108456569
408	0.1108295778
409	0.1108002136
410	0.11076784
411	0.1107450197
412	0.1106958345
413	0.1106629073
414	0.1106438116
415	0.1106106226
416	0.1105940666
417	0.1105669779
418	0.1105530022
419	0.1105215389
420	0.1105003303
421	0.1104393204
422	0.1104303794
423	0.1103845415
424	0.1103609337
425	0.1103326993
426	0.110310975
427	0.1102393276
428	0.1102026316
429	0.1101772106
430	0.1101518294
431	0.1101381497
432	0.1101198821
433	0.1101016845
434	0.1100903498
435	0.1100523757
436	0.1100147426
437	0.1099830866
438	0.1099677827
439	0.1099256875
440	0.1098845908
441	0.1098276911
442	0.1097830403
443	0.1097464473
444	0.1097237957
445	0.1096975801
446	0.1096628575
447	0.1096526578
448	0.1096348959
449	0.1095937007
450	0.1095616049
451	0.1095438598
452	0.1095219422
453	0.109505203
454	0.1094449209
455	0.1094148882
456	0.1093957772
457	0.1093712325
458	0.1093175434
459	0.109291334
460	0.1092630253
461	0.1092438382
462	0.109207674
463	0.1091938099
464	0.1091768907
465	0.1091580961
466	0.1091347191
467	0.109110799
468	0.1090850364
469	0.1090663875
470	0.1090323396
471	0.1089983214
472	0.1089700115
473	0.1089532752
474	0.1089398404
475	0.1089176762
476	0.1088959249
477	0.1088780638
478	0.108843455
479	0.108826358
480	0.1088062127
481	0.1087884299
482	0.1087643386
483	0.1087211823
484	0.10869329
485	0.1086617563
486	0.1086274705
487	0.1086064672
488	0.1085803703
489	0.1085560489
490	0.1085313282
491	0.1085026202
492	0.1084599306
493	0.1084354374
494	0.1084257993
495	0.1083915986
496	0.1083824247
497	0.1083568311
498	0.1083263725
499	0.1083086098
500	0.1082880638
501	0.1082683198
502	0.1082603259
503	0.1082179157
504	0.1081905156
505	0.1081669878
506	0.1081451955
507	0.1081376573
508	0.1081246621
509	0.1080831813
510	0.1080502432
511	0.1080322451
512	0.1079927697
513	0.107970111
514	0.1079574158
515	0.1079400676
516	0.1079215376
517	0.1079028152
518	0.1078861677
519	0.1078564616
520	0.1078150718
521	0.107795011
522	0.1077673954
523	0.1077443355
524	0.1077295352
525	0.1077039253
526	0.1076782658
527	0.1076543933
528	0.1076425933
529	0.1076180848
530	0.1076030315
531	0.1075844852
532	0.1075635181
533	0.107533661
534	0.1075078122
535	0.1074875949
536	0.1074712833
537	0.107456286
538	0.1074379345
539	0.1074116536
540	0.1073930469
541	0.1073657361
542	0.1073507559
543	0.1073310163
544	0.1073029716
545	0.1072927829
546	0.1072464036
547	0.1072108018
548	0.1072013714
549	0.1071828217
550	0.1071663452
551	0.1071360354
552	0.1071125059
553	0.1070828396
554	0.1070486231
555	0.107036794
556	0.1070130443
557	0.1069823894
558	0.1069683376
559	0.1069573606
560	0.1069397585
561	0.1069156773
562	0.1068993269
563	0.1068718513
564	0.1068632623
565	0.1068442146
566	0.1068327726
567	0.106815453
568	0.1067946371
569	0.1067831774
570	0.1067636361
571	0.1067364144
572	0.1067138661
573	0.1066819944
574	0.1066451904
575	0.1066119411
576	0.1065959935
577	0.1065829886
578	0.1065596965
579	0.1065488283
580	0.1065140352
581	0.1064985666
582	0.1064747379
583	0.1064556268
584	0.1064291589
585	0.1064107223
586	0.1063859314
587	0.1063641785
588	0.1063517941
589	0.1063113718
590	0.1062906164
591	0.1062721759
592	0.1062524984
593	0.1062462573
594	0.106231295
595	0.1062117601
596	0.1061883994
597	0.106173746
598	0.1061474356
599	0.1061316181
600	0.1061194181
601	0.1061102421
602	0.106087452
603	0.106060367
604	0.1060253638
605	0.106008553
606	0.1059914911
607	0.1059753707
608	0.1059411218
609	0.1059285279
610	0.1059103084
611	0.105891466
612	0.1058660491
613	0.1058448526
614	0.1058286822
615	0.1058014785
616	0.1057652887
617	0.1057475655
618	0.1057350374
619	0.1057160707
620	0.1056946171
621	0.1056826853
622	0.105663075
623	0.105645362
624	0.105622311
625	0.1055739944
626	0.1055664157
627	0.1055590114
628	0.1055449067
629	0.10551483
630	0.1055031876
631	0.1054883104
632	0.1054716248
633	0.1054447614
634	0.1054204739
635	0.1054076648
636	0.1053887698
637	0.1053642698
638	0.1053383212
639	0.1053155195
640	0.1053017035
641	0.1052822337
642	0.1052698436
643	0.1052406794
644	0.1052168168
645	0.1051985023
646	0.1051607401
647	0.1051491252
648	0.1051281222
649	0.1051213475
650	0.1050993288
651	0.1050753137
652	0.1050561072
653	0.1050326278
654	0.1050103762
655	0.1049903095
656	0.1049640893
657	0.1049450822
658	0.1049161054
659	0.1049048182
660	0.1048886025
661	0.104866149
662	0.1048471031
663	0.1048293864
664	0.1048125647
665	0.1047798728
666	0.1047552271
667	0.104734425
668	0.1047085062
669	0.1046793918
670	0.1046380369
671	0.1046129294
672	0.1045891822
673	0.1045658946
674	0.1045533835
675	0.1045316613
676	0.1045095133
677	0.104488978
